,Start,End,Description,Confidence,sum
14,164.430933,167.333833,ski,0.7029696702957153,-0.0407
286,164.430933,167.333833,winter sport,0.907133936882019,-0.0407
347,164.430933,167.333833,snow,0.6658764481544495,-0.0407
124,164.430933,167.333833,snowboard,0.9823012948036194,-0.0407
188,164.430933,167.333833,mountain range,0.6462157368659973,-0.0407
162,164.430933,167.333833,snowboarding,0.780227780342102,-0.0407
47,164.430933,167.333833,sports,0.6113289594650269,-0.0407
348,167.3672,170.036533,snow,0.8447380661964417,-0.0316
349,173.039533,175.9758,snow,0.8742537498474121,-0.03755
49,173.039533,175.9758,sports,0.6066106557846069,-0.03755
288,173.039533,175.9758,winter sport,0.907133936882019,-0.03755
126,176.009166,178.7786,snowboard,0.9678208231925964,-0.0297
209,176.009166,178.7786,skiing,0.6350322961807251,-0.0297
350,176.009166,178.7786,snow,0.8742537498474121,-0.0297
289,176.009166,178.7786,winter sport,0.907133936882019,-0.0297
164,176.009166,178.7786,snowboarding,0.7966665625572205,-0.0297
50,176.009166,178.7786,sports,0.699467122554779,-0.0297
210,180.246733,183.349833,skiing,0.6469504237174988,-0.0397
290,180.246733,183.349833,winter sport,0.9111734628677368,-0.0397
352,180.246733,183.349833,snow,0.8742537498474121,-0.0397
51,180.246733,183.349833,sports,0.699467122554779,-0.0397
17,180.246733,183.349833,ski,0.7648196220397949,-0.0397
219,186.419566,187.720866,tree,0.697189211845398,-0.007
99,186.419566,187.720866,winter,0.8316031694412231,-0.007
354,186.419566,187.720866,snow,0.7939238548278809,-0.007
355,187.754233,189.522666,snow,0.8356224894523621,-0.0044
128,187.754233,189.522666,snowboard,0.9678208231925964,-0.0044
166,187.754233,189.522666,snowboarding,0.7728819847106934,-0.0044
54,187.754233,189.522666,sports,0.6240878105163574,-0.0044
292,187.754233,189.522666,winter sport,0.907133936882019,-0.0044
357,190.757233,192.058533,snow,0.9224743247032166,-0.0028
100,190.757233,192.058533,winter,0.8379389643669128,-0.0028
358,192.0919,194.9948,snow,0.9681656360626221,-0.00195
57,192.0919,194.9948,sports,0.6113289594650269,-0.00195
101,192.0919,194.9948,winter,0.933427631855011,-0.00195
212,192.0919,194.9948,skiing,0.6350322961807251,-0.00195
295,192.0919,194.9948,winter sport,0.907133936882019,-0.00195
168,192.0919,194.9948,snowboarding,0.7026284337043762,-0.00195
130,192.0919,194.9948,snowboard,0.699527382850647,-0.00195
359,195.028166,196.9968,snow,0.6464260220527649,-0.00185
58,195.028166,196.9968,sports,0.6113289594650269,-0.00185
296,195.028166,196.9968,winter sport,0.6904604434967041,-0.00185
240,195.028166,196.9968,extreme sport,0.6433010101318359,-0.00185
213,197.030166,199.265733,skiing,0.6350322961807251,-0.00255
221,197.030166,199.265733,point-of-view shot,0.7361889481544495,-0.00255
102,197.030166,199.265733,winter,0.911254346370697,-0.00255
297,197.030166,199.265733,winter sport,0.907133936882019,-0.00255
360,197.030166,199.265733,snow,0.9392730593681335,-0.00255
59,197.030166,199.265733,sports,0.6590914130210876,-0.00255
361,199.2991,208.074533,snow,0.9403569102287292,-0.023549999999999998
170,199.2991,208.074533,snowboarding,0.6108362674713135,-0.023549999999999998
298,199.2991,208.074533,winter sport,0.8189852833747864,-0.023549999999999998
103,199.2991,208.074533,winter,0.8797892332077026,-0.023549999999999998
83,208.1079,209.475933,mountain pass,0.6240811347961426,-0.00795
382,208.1079,209.475933,vehicle,0.9191926121711731,-0.00795
311,208.1079,209.475933,road,0.8399043083190918,-0.00795
306,208.1079,209.475933,road trip,0.6346845626831055,-0.00795
107,208.1079,209.475933,highway,0.8659679889678955,-0.00795
104,209.5093,211.878333,winter,0.7097927331924438,-0.00795
362,209.5093,211.878333,snow,0.6658764481544495,-0.00795
193,209.5093,211.878333,mountain range,0.8385175466537476,-0.00795
263,209.5093,211.878333,mountain,0.7579516768455505,-0.00795
2,211.9117,220.1199,sea,0.7295966744422913,-0.024550000000000002
316,211.9117,220.1199,sky,0.7946117520332336,-0.024550000000000002
73,211.9117,220.1199,horizon,0.6986870765686035,-0.024550000000000002
243,211.9117,220.1199,evening,0.8262370228767395,-0.024550000000000002
368,211.9117,220.1199,sun,0.9713653922080994,-0.024550000000000002
224,211.9117,220.1199,sunlight,0.9071327447891235,-0.024550000000000002
216,211.9117,220.1199,dusk,0.7750146985054016,-0.024550000000000002
139,211.9117,220.1199,sunset,0.8510777354240417,-0.024550000000000002
63,211.9117,220.1199,sunrise,0.730477511882782,-0.024550000000000002
319,211.9117,220.1199,silhouette,0.646369457244873,-0.024550000000000002
